,code,year,gii,gii_rank,lfpr_f,lfpr_m,pr_f,pr_m,se_f,se_m
0,DEU,1990,0.183,NAN,45.352,71.957,25.50607287,74.49392713,50.50348575,58.51593394
1,DEU,1991,0.172,NAN,48.097,71.805,25.50607287,74.49392713,53.22950053,61.6693047
2,DEU,1992,0.162,NAN,47.859,70.594,25.50607287,74.49392713,55.95551531,64.82267546
3,DEU,1993,0.152,NAN,47.614,69.96,25.50607287,74.49392713,58.68153009,67.97604623
4,DEU,1994,0.144,NAN,47.794,69.43,25.50607287,74.49392713,61.40754487,71.12941699
5,DEU,1995,0.14,NAN,47.698,68.595,25.50607287,74.49392713,64.13355965,74.28278775
6,DEU,1996,0.14,NAN,47.857,68.17,25.50607287,74.49392713,66.18709727,77.28589429
7,DEU,1997,0.139,NAN,48.209,67.891,25.50607287,74.49392713,68.2406349,80.28900084
8,DEU,1998,0.136,NAN,48.432,67.65,25.50607287,74.49392713,70.29417252,83.29210739
9,DEU,1999,0.127,NAN,48.996,67.416,29.8102981,70.1897019,72.34771015,86.29521393
10,DEU,2000,0.133,NAN,48.873,66.678,30.35230352,69.64769648,74.40124777,89.29832048
11,DEU,2001,0.129,NAN,49.313,66.23,30.47619048,69.52380952,80.19177254,91.46299627
12,DEU,2002,0.121,NAN,49.376,65.711,31.39880952,68.60119048,85.98229732,93.62767205
13,DEU,2003,0.114,NAN,49.757,65.392,31.39880952,68.60119048,91.77282209,95.79234784
14,DEU,2004,0.107,NAN,49.453,64.77,32.81938326,67.18061674,97.56334686,97.95702362
15,DEU,2005,0.108,NAN,51.123,66.179,30.45387994,69.54612006,96.50746918,97.32512665
16,DEU,2006,0.105,NAN,52.001,66.347,30.60029283,69.39970717,96.60812378,97.28188324
17,DEU,2007,0.105,NAN,52.428,66.273,30.64516129,69.35483871,96.75849152,97.43546295
18,DEU,2008,0.103,NAN,52.537,66.332,31.13069016,68.86930984,96.38516235,97.11882019
19,DEU,2009,0.098,NAN,52.935,66.209,31.69319826,68.30680174,96.3602829,97.07700348
20,DEU,2010,0.096,NAN,53.041,66.046,31.69319826,68.30680174,96.12998199,96.94281769
21,DEU,2011,0.09,NAN,53.991,66.516,32.36574746,67.63425254,96.36663818,97.08213806
22,DEU,2012,0.087,NAN,54.024,66.433,32.36574746,67.63425254,96.38565826,97.09645081
23,DEU,2013,0.078,NAN,54.583,66.411,35.57142857,64.42857143,96.36168671,96.99919891
24,DEU,2014,0.078,NAN,54.774,66.324,35.57142857,64.42857143,96.52570343,97.09033966
25,DEU,2015,0.078,NAN,54.719,65.88,36.85714286,63.14285714,96.43984222,97.00937653
26,DEU,2016,0.085,NAN,55.669,66.595,36.85714286,63.14285714,96.21295929,96.82961273
27,DEU,2017,0.087,NAN,55.927,66.724,31.49100257,68.50899743,96.16706467,96.6905098
28,DEU,2018,0.083,NAN,55.968,66.812,31.49100257,68.50899743,96.12117004,96.55140686
29,DEU,2019,0.079,NAN,56.593,67.456,31.61953728,68.38046272,96.07321988,96.46214387
30,DEU,2020,0.077,NAN,56.838,66.54,31.61953728,68.38046272,96.07321988,96.46214387
31,DEU,2021,0.073,19,56.843,66.041,34.7826087,65.2173913,96.07321988,96.46214387
32,CHN,1990,NAN,NAN,73.022,85.033,NAN,NAN,28.51492433,43.73214098
33,CHN,1991,NAN,NAN,72.778,84.827,NAN,NAN,29.92116718,45.40012011
34,CHN,1992,NAN,NAN,72.532,84.62,NAN,NAN,31.32741003,47.06809924
35,CHN,1993,NAN,NAN,72.285,84.411,NAN,NAN,32.73365288,48.73607837
36,CHN,1994,NAN,NAN,72.037,84.199,NAN,NAN,34.13989573,50.4040575
37,CHN,1995,NAN,NAN,71.788,83.986,NAN,NAN,35.54613858,52.07203663
38,CHN,1996,NAN,NAN,71.538,83.77,NAN,NAN,37.11240906,53.8137496
39,CHN,1997,NAN,NAN,71.286,83.553,NAN,NAN,38.67867954,55.55546258
40,CHN,1998,0.278,NAN,71.033,83.332,21.81940248,78.18059752,40.24495003,57.29717555
41,CHN,1999,0.275,NAN,70.778,83.109,21.81940248,78.18059752,41.81122051,59.03888853
42,CHN,2000,0.275,NAN,70.522,82.883,21.78284182,78.21715818,43.377491,60.7806015
43,CHN,2001,0.271,NAN,69.868,82.441,21.78284182,78.21715818,44.90488777,61.88845367
44,CHN,2002,0.264,NAN,69.206,81.989,21.78284182,78.21715818,46.43228455,62.99630585
