,wave,wave_years,country,respondent_number,year,sex,age,ethnic,status,top_earner,town_size,job,politician,university,women_movement,abortion,divorce,income_equality,choice_control
20771,WVS7,2017-2022,China,156720001.0,2018,Female,38.0,CN: Chinese,Married,No,100-500000,1,2,4,3,1,2,4,5
20772,WVS7,2017-2022,China,156720002.0,2018,Female,52.0,CN: Chinese,Married,No,100-500000,1,2,4,3,1,1,1,10
20773,WVS7,2017-2022,China,156720003.0,2018,Female,69.0,CN: Chinese,Widowed,No,100-500000,1,2,4,3,1,5,10,10
20774,WVS7,2017-2022,China,156720004.0,2018,Male,48.0,CN: Chinese,Married,No,100-500000,2,4,4,3,1,5,7,8
20775,WVS7,2017-2022,China,156720005.0,2018,Male,70.0,CN: Chinese,Married,No,100-500000,3,2,4,3,1,10,5,10
20776,WVS7,2017-2022,China,156720006.0,2018,Male,30.0,CN: Chinese,Married,No,100-500000,3,1,4,2,6,7,8,7
20777,WVS7,2017-2022,China,156720007.0,2018,Female,27.0,CN: Chinese,Single/Never married,Yes,100-500000,3,4,4,3,1,10,1,10
20778,WVS7,2017-2022,China,156720008.0,2018,Female,60.0,CN: Chinese,Married,No,100-500000,3,2,5,2,10,10,10,6
20779,WVS7,2017-2022,China,156720009.0,2018,Male,63.0,CN: Chinese,Married,No,100-500000,1,2,2,3,3,4,3,6
20780,WVS7,2017-2022,China,156720010.0,2018,Female,69.0,CN: Chinese,Married,No,100-500000,3,4,4,3,8,3,2,10
20781,WVS7,2017-2022,China,156720011.0,2018,Male,68.0,CN: Chinese,Married,No,100-500000,1,4,4,4,1,2,2,9
20782,WVS7,2017-2022,China,156720012.0,2018,Male,38.0,CN: Chinese,Married,No,100-500000,3,4,4,3,4,9,7,7
20783,WVS7,2017-2022,China,156720013.0,2018,Female,26.0,CN: Chinese,Single/Never married,No,100-500000,3,4,4,3,5,8,8,5
20784,WVS7,2017-2022,China,156720014.0,2018,Female,28.0,CN: Chinese,Divorced,Yes,100-500000,3,4,4,3,1,1,7,8
20785,WVS7,2017-2022,China,156720015.0,2018,Male,42.0,CN: Chinese,Married,,100-500000,3,4,4,2,3,2,9,5
20786,WVS7,2017-2022,China,156720016.0,2018,Male,60.0,CN: Chinese,Married,No,100-500000,1,1,2,3,4,1,5,9
20787,WVS7,2017-2022,China,156720017.0,2018,Male,65.0,CN: Chinese,Married,Yes,100-500000,1,4,2,3,1,1,9,10
20788,WVS7,2017-2022,China,156720018.0,2018,Male,31.0,CN: Chinese,Married,No,100-500000,2,2,4,3,7,7,6,7
20789,WVS7,2017-2022,China,156720019.0,2018,Male,50.0,CN: Chinese,Married,,100-500000,1,2,4,3,2,1,6,10
20790,WVS7,2017-2022,China,156720020.0,2018,Male,66.0,CN: Chinese,Married,Yes,100-500000,1,2,4,2,1,1,6,10
20792,WVS7,2017-2022,China,156720022.0,2018,Male,38.0,CN: Chinese,Married,Yes,100-500000,3,4,4,3,1,10,9,10
20794,WVS7,2017-2022,China,156720024.0,2018,Male,65.0,CN: Chinese,Married,Yes,100-500000,3,4,4,3,1,1,5,8
20796,WVS7,2017-2022,China,156720026.0,2018,Male,36.0,CN: Chinese,Married,No,100-500000,3,4,4,4,1,1,4,7
20797,WVS7,2017-2022,China,156720027.0,2018,Male,39.0,CN: Chinese,Married,No,100-500000,3,4,4,3,1,5,7,8
20798,WVS7,2017-2022,China,156720028.0,2018,Female,70.0,CN: Chinese,Married,Yes,100-500000,3,2,4,3,1,10,5,10
20799,WVS7,2017-2022,China,156720029.0,2018,Female,29.0,CN: Chinese,Single/Never married,No,100-500000,3,4,4,3,9,10,8,3
20800,WVS7,2017-2022,China,156720030.0,2018,Male,63.0,CN: Chinese,Married,Yes,100-500000,1,2,4,3,1,1,7,5
20801,WVS7,2017-2022,China,156720031.0,2018,Female,34.0,CN: Chinese,Married,No,100-500000,3,4,2,3,10,10,8,6
20802,WVS7,2017-2022,China,156720032.0,2018,Male,63.0,CN: Chinese,Married,No,100-500000,1,2,4,3,1,8,3,4
20803,WVS7,2017-2022,China,156720033.0,2018,Male,50.0,CN: Chinese,Married,No,100-500000,3,2,2,3,1,1,5,5
20804,WVS7,2017-2022,China,156720034.0,2018,Male,29.0,CN: Chinese,Single/Never married,No,100-500000,3,4,4,2,5,10,6,6
20805,WVS7,2017-2022,China,156720035.0,2018,Male,54.0,CN: Chinese,Married,No,100-500000,1,4,4,3,1,1,10,10
20806,WVS7,2017-2022,China,156720036.0,2018,Female,57.0,CN: Chinese,Single/Never married,Yes,100-500000,3,4,4,3,2,7,6,10
20807,WVS7,2017-2022,China,156720037.0,2018,Male,56.0,CN: Chinese,Married,Yes,100-500000,1,4,4,1,5,5,5,6
20808,WVS7,2017-2022,China,156720038.0,2018,Male,37.0,CN: Chinese,Married,Yes,100-500000,2,2,2,2,2,5,7,6
20809,WVS7,2017-2022,China,156720039.0,2018,Female,36.0,CN: Chinese,Married,No,100-500000,1,2,4,2,1,1,5,9
20810,WVS7,2017-2022,China,156720040.0,2018,Female,46.0,CN: Chinese,Married,Yes,100-500000,1,2,4,3,1,5,7,6
20811,WVS7,2017-2022,China,156720041.0,2018,Male,52.0,CN: Chinese,Single/Never married,Yes,100-500000,3,4,2,3,5,10,6,10
20812,WVS7,2017-2022,China,156720042.0,2018,Female,35.0,CN: Chinese,Married,,100-500000,3,2,4,3,1,5,8,4
20813,WVS7,2017-2022,China,156720043.0,2018,Male,45.0,CN: Chinese,Married,No,100-500000,3,4,4,3,10,10,5,10
20814,WVS7,2017-2022,China,156720044.0,2018,Female,50.0,CN: Chinese,,No,100-500000,3,2,4,3,2,1,5,10
20815,WVS7,2017-2022,China,156720045.0,2018,Male,57.0,CN: Chinese,Divorced,No,100-500000,1,2,4,3,5,5,5,5
20816,WVS7,2017-2022,China,156720046.0,2018,Male,43.0,CN: Chinese,Married,Yes,100-500000,2,2,4,3,1,1,5,8
20817,WVS7,2017-2022,China,156720047.0,2018,Female,63.0,CN: Chinese,Married,No,100-500000,1,2,2,3,2,2,3,5
20818,WVS7,2017-2022,China,156720048.0,2018,Female,20.0,CN: Chinese,Single/Never married,No,100-500000,3,5,5,4,1,5,10,8
20819,WVS7,2017-2022,China,156720049.0,2018,Female,53.0,CN: Chinese,Married,Yes,100-500000,2,2,2,2,8,8,2,6
20820,WVS7,2017-2022,China,156720050.0,2018,Male,68.0,CN: Chinese,Married,No,100-500000,3,4,4,3,6,3,2,9
20821,WVS7,2017-2022,China,156720051.0,2018,Male,34.0,CN: Chinese,Married,Yes,100-500000,1,1,4,3,2,3,9,8
20822,WVS7,2017-2022,China,156720052.0,2018,Male,69.0,CN: Chinese,Living together as married,Yes,100-500000,1,1,2,3,4,4,5,5
20823,WVS7,2017-2022,China,156720053.0,2018,Male,52.0,CN: Chinese,Married,,100-500000,1,4,4,2,2,3,1,1
20825,WVS7,2017-2022,China,156720055.0,2018,Male,22.0,CN: Chinese,Single/Never married,No,100-500000,2,4,4,3,2,7,6,8
20826,WVS7,2017-2022,China,156720056.0,2018,Male,22.0,CN: Chinese,Single/Never married,No,100-500000,2,2,4,3,4,4,8,7
20827,WVS7,2017-2022,China,156720057.0,2018,Female,51.0,CN: Chinese,Married,No,100-500000,1,1,4,3,10,10,5,6
20828,WVS7,2017-2022,China,156720058.0,2018,Female,48.0,CN: Chinese,Married,No,100-500000,2,4,4,3,1,1,7,6
20829,WVS7,2017-2022,China,156720059.0,2018,Male,25.0,CN: Chinese,Single/Never married,No,100-500000,3,2,4,4,1,6,10,6
20830,WVS7,2017-2022,China,156720060.0,2018,Female,18.0,CN: Chinese,Single/Never married,No,100-500000,3,4,4,2,5,5,5,8
20831,WVS7,2017-2022,China,156720061.0,2018,Male,55.0,CN: Chinese,Married,Yes,50-100000,1,2,2,4,1,1,10,10
20832,WVS7,2017-2022,China,156720062.0,2018,Male,45.0,CN: Chinese,Married,Yes,50-100000,3,4,4,2,3,2,7,4
20833,WVS7,2017-2022,China,156720063.0,2018,Female,32.0,CN: Chinese,Married,No,50-100000,3,4,4,3,1,1,8,3
20834,WVS7,2017-2022,China,156720064.0,2018,Male,33.0,CN: Chinese,Married,No,50-100000,2,4,4,3,1,1,4,3
20835,WVS7,2017-2022,China,156720065.0,2018,Female,29.0,CN: Chinese,Married,No,50-100000,1,2,4,2,1,1,1,10
20836,WVS7,2017-2022,China,156720066.0,2018,Female,18.0,CN: Chinese,Single/Never married,No,50-100000,3,5,5,3,4,4,3,7
20837,WVS7,2017-2022,China,156720067.0,2018,Male,63.0,CN: Chinese,Married,No,50-100000,3,4,2,3,9,10,3,3
20838,WVS7,2017-2022,China,156720068.0,2018,Male,68.0,CN: Chinese,Widowed,Yes,50-100000,1,2,4,3,4,10,2,7
20839,WVS7,2017-2022,China,156720069.0,2018,Male,33.0,CN: Chinese,Married,Yes,50-100000,1,4,4,3,2,2,7,7
20840,WVS7,2017-2022,China,156720070.0,2018,Male,70.0,CN: Chinese,Widowed,No,50-100000,3,4,2,3,5,10,7,10
20841,WVS7,2017-2022,China,156720071.0,2018,Male,40.0,CN: Chinese,Married,Yes,50-100000,3,2,4,3,3,3,3,8
20842,WVS7,2017-2022,China,156720072.0,2018,Male,43.0,CN: Chinese,Married,Yes,50-100000,3,4,2,3,1,1,6,6
20843,WVS7,2017-2022,China,156720073.0,2018,Male,37.0,CN: Chinese,Married,No,50-100000,2,2,4,3,1,1,1,8
20844,WVS7,2017-2022,China,156720074.0,2018,Male,64.0,CN: Chinese,Married,Yes,50-100000,1,1,4,4,1,1,8,10
20846,WVS7,2017-2022,China,156720076.0,2018,Male,69.0,CN: Chinese,Married,No,50-100000,3,2,2,2,1,1,4,9
20847,WVS7,2017-2022,China,156720077.0,2018,Female,49.0,CN: Chinese,Married,Yes,50-100000,3,4,4,3,7,10,10,10
20848,WVS7,2017-2022,China,156720078.0,2018,Male,63.0,CN: Chinese,Married,Yes,50-100000,3,4,4,2,1,1,10,10
20849,WVS7,2017-2022,China,156720079.0,2018,Male,68.0,CN: Chinese,Widowed,Yes,50-100000,3,4,4,4,1,1,7,10
20850,WVS7,2017-2022,China,156720080.0,2018,Female,21.0,CN: Chinese,Single/Never married,No,50-100000,3,1,5,3,1,1,7,9
20851,WVS7,2017-2022,China,156720081.0,2018,Male,42.0,CN: Chinese,Married,Yes,50-100000,3,4,4,3,1,1,1,10
20852,WVS7,2017-2022,China,156720082.0,2018,Female,18.0,CN: Chinese,Single/Never married,No,50-100000,3,4,4,3,5,7,4,4
20853,WVS7,2017-2022,China,156720083.0,2018,Female,58.0,CN: Chinese,Married,No,50-100000,3,4,4,2,1,1,10,1
20854,WVS7,2017-2022,China,156720084.0,2018,Male,60.0,CN: Chinese,Married,Yes,50-100000,1,2,2,2,2,3,3,6
20855,WVS7,2017-2022,China,156720085.0,2018,Male,64.0,CN: Chinese,Married,Yes,50-100000,1,4,4,3,1,1,2,8
